timestamp | command | chip | macos | torch | device | dtype | batch_size_final | model | model_sha | lang | scorer | variant | n_items | wall_sec | items_per_sec
2026-08-27T18:01:57 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang sw --scorer LETTER --variant perm_DABC | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | sw | LETTER | perm_DABC | 400 | 4.8 | 83.4
2026-08-27T18:02:05 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang zh --scorer LETTER --variant v2_native | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zh | LETTER | v2_native | 400 | 2.9 | 140.14
2026-08-27T18:02:20 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang hi --scorer LETTER --variant v2_native | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hi | LETTER | v2_native | 400 | 8.8 | 45.33
2026-08-27T18:02:31 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 3 --model qwen2.5 --lang sw --scorer LETTER --variant v2_native | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | sw | LETTER | v2_native | 400 | 4.9 | 81.61
2026-08-27T18:02:51 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang en --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | en | LETTER | v1_en | 400 | 4.2 | 94.75
2026-08-27T18:03:03 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang de --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | de | LETTER | v1_en | 400 | 6.5 | 61.71
2026-08-27T18:03:13 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang zh --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | zh | LETTER | v1_en | 400 | 4.1 | 96.6
2026-08-27T18:03:24 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang ar --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | ar | LETTER | v1_en | 400 | 5.4 | 74.51
2026-08-27T18:03:44 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang hi --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | hi | LETTER | v1_en | 400 | 12.9 | 30.98
2026-08-27T18:03:55 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang id --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | id | LETTER | v1_en | 400 | 5.5 | 73.23
2026-08-27T18:04:07 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang sw --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | sw | LETTER | v1_en | 400 | 6.3 | 63.64
2026-08-27T18:04:23 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 5 --model qwen3 --lang yo --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen3-0.6B | c1899de289a04d12100db370d81485cdf75e47ca | yo | LETTER | v1_en | 400 | 9.6 | 41.85
2026-08-27T18:04:40 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang en --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | en | LETTER | v1_en | 400 | 4.0 | 98.84
2026-08-27T18:04:49 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang de --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | de | LETTER | v1_en | 400 | 4.2 | 95.58
2026-08-27T18:04:59 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang zh --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | zh | LETTER | v1_en | 400 | 4.8 | 83.06
2026-08-27T18:05:12 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang ar --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | ar | LETTER | v1_en | 400 | 7.6 | 52.44
2026-08-27T18:05:27 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang hi --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | hi | LETTER | v1_en | 400 | 9.2 | 43.27
2026-08-27T18:05:37 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang id --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | id | LETTER | v1_en | 400 | 4.0 | 99.8
2026-08-27T18:05:48 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang sw --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | sw | LETTER | v1_en | 400 | 4.9 | 81.8
2026-08-27T18:06:01 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S3 --model smollm2 --lang yo --scorer LETTER --variant v1_en | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | HuggingFaceTB/SmolLM2-360M-Instruct | a10cc1512eabd3dde888204e902eca88bddb4951 | yo | LETTER | v1_en | 400 | 7.5 | 53.46
2026-08-27T18:06:11 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S1 --model qwen2.5 --lang eng_Latn --scorer LETTER --variant v1_en --benchmark belebele --n 300 | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | eng_Latn | LETTER | v1_en | 300 | 2.6 | 116.82
2026-08-27T18:06:19 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S1 --model qwen2.5 --lang zho_Hans --scorer LETTER --variant v1_en --benchmark belebele --n 300 | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zho_Hans | LETTER | v1_en | 300 | 2.4 | 123.1
2026-08-27T18:06:30 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S1 --model qwen2.5 --lang hin_Deva --scorer LETTER --variant v1_en --benchmark belebele --n 300 | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hin_Deva | LETTER | v1_en | 300 | 6.0 | 50.07
2026-08-27T18:06:41 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part S1 --model qwen2.5 --lang swh_Latn --scorer LETTER --variant v1_en --benchmark belebele --n 300 | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | swh_Latn | LETTER | v1_en | 300 | 4.2 | 71.22
2026-08-27T18:06:48 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang en --scorer LETTER --variant v1_en --lite --out predictions_lite/p2_qwen2.5_en_LETTER_v1_en.jsonl | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | en | LETTER | v1_en | 200 | 1.7 | 114.33
2026-08-27T18:06:56 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang de --scorer LETTER --variant v1_en --lite --out predictions_lite/p2_qwen2.5_de_LETTER_v1_en.jsonl | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | de | LETTER | v1_en | 200 | 2.1 | 95.0
2026-08-27T18:07:03 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang zh --scorer LETTER --variant v1_en --lite --out predictions_lite/p2_qwen2.5_zh_LETTER_v1_en.jsonl | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | zh | LETTER | v1_en | 200 | 1.8 | 113.3
2026-08-27T18:07:11 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang ar --scorer LETTER --variant v1_en --lite --out predictions_lite/p2_qwen2.5_ar_LETTER_v1_en.jsonl | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | ar | LETTER | v1_en | 200 | 2.1 | 96.09
2026-08-27T18:07:20 | /home/siqiouya/code/take-home-exam/instructor/_refrun/work/harness/__main__.py run --student-id INSTRUCTOR --batch-size 16 --part 2 --model qwen2.5 --lang hi --scorer LETTER --variant v1_en --lite --out predictions_lite/p2_qwen2.5_hi_LETTER_v1_en.jsonl | x86_64 | - | 2.13.0+cu130 | cuda | float16 | 16 | Qwen/Qwen2.5-0.5B-Instruct | 7ae557604adf67be50417f59c2c2f167def9a775 | hi | LETTER | v1_en | 200 | 4.1 | 48.96
